"Name","Url","DataSource","ExtractedDate","Firm_","Phone","Address","Contact","PostalAddress","Email","Conditions","Environment_Group","Other_Professional_Services_Group","Pavement_and_Geotechnical_Engineering_Group","Road_and_Bridge_Design_Group","Traffic_Management_Services_consult_Group","Transport_and_Planning_Studies_Group","PrequalificationCategories","Letter"
"JJ Ryan Consulting Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/dfe4bc5eb6b40940ca25811b001e5a65?OpenDocument","Cached","2025-09-12 10:43:02","JJ Ryan Consulting Pty Ltd","(03) 9850 8979","105 Highbury Roa, Burwood VIC 3125","Mr Jason Ryan","""As Above"", &nbsp","jason.ryan@jjryan.com.au",,,,,,"Traffic Design & Operations - Arterial Roads & Motorways: TSD - Traffic Signing & Delineation Design",,"TSD","J"
"JMP**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/ebbcb0f02d864885ca256d0a00075059?OpenDocument","Cached","2025-09-12 10:43:03","John Mullen & Partners Pty Ltd","9600 0366","250 Queen Street, MELBOURNE VIC 3000","Mr Mark Byrne","""As Above""&nbsp","jmpmelb@jmp.com.au",,,,,"Road Design: Rural Road (RR), Urban Road (UR)",,,"ROAD, RR, UR","J"
"JNR Civil Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/fc6df58cd275c306ca2585e2007fd55c?OpenDocument","Cached","2025-09-12 10:43:04","JNR Civil Pty Ltd","03 9305 2839","186 Yea Road, WHITTLESEA VIC 3757","Mr Ali Sekman","""As Above"", &nbsp","Ali.s@jnrcivil.com.au",,,,,,,,"M1, WORKS-MINOR","J"
"John Holland Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/e68a666b12da31bfca256d0b0016f39a?OpenDocument","Cached","2025-09-12 10:43:04","John Holland Pty Ltd","(03) 8698 9400","Level 9/180 Flinders Street, MELBOURNE VIC 3000","Ms Loren Hickey","""As Above""&nbsp","Loren.Hickey@jhg.com.au",,,,,,,,"B4, BW, F150+, M2-BW, M2-PW, M2-RW, PW, R5, RW","J"
"Jotomex Civil Contracting **","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/b5cb494e440cd86fca25821000162e59?OpenDocument","Cached","2025-09-12 10:43:05","JTX Civil Contracting Pty Ltd","()3) 9726 8849","18 Winyard Drive, MOOROOLBARK VIC 3138","Mr Greg Hodgett","""As Above"", &nbsp","greg@jotomex.com.au",,,,,,,,"F005, R1","J"
"JRSconsult Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/a79cb9749fd9b864ca257d31000bd36d?OpenDocument","Cached","2025-09-12 10:43:06","JRSconsult Pty Ltd",,"Level 1, 183A Greville Street, PRAHRAN VIC 3181","Mr Julian Schlesinger","""As Above"", &nbsp","info@jrsconsult.com.au","Restriction on Structures Simple - Design verification is required to be undertaken by an independent organisation that is pre-qualified at the equivalent level",,,,"Bridge Design: Structures-Simple (SS)",,,"SS, STRUCTURES-SIMPLE","J"
"JTA Health, Safety and Noise Specialists Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/b3f8fdb5ba08bd57ca257e5b0028ebbb?OpenDocument","Cached","2025-09-12 10:43:06","JTA Health, Safety and Noise Specialists Pty Ltd",,"139 Ormond Road, ELWOOD VIC 3184","Mr William Dalmau","""As Above"", &nbsp","williamd@jtahealthsafetynoise.com.au",,"Noise & Vibration: Noise & Vibration (E-NMD)",,,,,,"E-NMD, NMD","J"
"Judd &amp; Sons Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/6f44194f1ed033beca25821100048e76?OpenDocument","Cached","2025-09-12 10:43:07","Judd & Sons Pty Ltd","03 5744 1705","84 Benalla Road, YARRAWONGA VIC 3730","Mr Matthew Judd","P O BOX 680, YARRAWONGA VIC 3730&nbsp","matt@juddandsons.com.au",,,,,,,,"F015, R1","J"
"JVA Engineering Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/8378685e612b1946ca2583760010908d?OpenDocument","Cached","2025-09-12 10:43:07","JVA Engineering Pty Ltd","03 9706 5377","4 Bungaleen Court , DANDENONG VIC 3175","Mr Vince Raschilla","""As Above"", &nbsp","vince@jvaengineering.com.au",,,,,,,,"BW, M1, M2-BW, WORKS-MINOR","J"
"JYW Consulting**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/ec8558753c36be16ca2580480017a0d3?OpenDocument","Cached","2025-09-12 10:43:08","JYW Consulting Pty Ltd","+61 405 202 702","12 - 14 O'Connell Street, SYDNEY NSW 2000","Mr Henry Wu","P O Box R362 , ROYAL EXCHANGE NSW 1225&nbsp","henry.wu@jywconsulting.com.au",,,,,,"Data Acquisition Processing & Analysis: DBS - Behavioural surveys, DMR - Market Research, DSD - Survey Design; Traffic Transport Planning & Strategies: PRL - Regulation & Legislation, PRN - Road Network; Traffic Design & Operations - Arterial Roads & Motorways: TAR - Arterial Roads, TCA - Communications Architecture, TMC - Monitoring & Control Systems, TOF - Freeways, TPF - Public Transport Facilities; Freight and Freight Vehicle Operations: FIR - Investigation & Reporting, FVR - Research of Intermodal & Overseas Operations",,"DBS, DMR, DSD, FIR, FVR, OF, PRL, PRN, ROAD, TAR, TCA, TMC, TOF, TPF","J"
